YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1952,0.67,0.87,1.35,11.77,12.97,15.32,18.20,18.83,11.48,7.19,1.52,-1.11,1.69,8.70,17.45,6.73,8.64
1953,-0.18,0.37,5.57,10.20,14.45,18.10,18.96,17.51,14.28,11.68,5.08,1.89,-0.31,10.07,18.19,10.35,9.58
1954,-3.73,-5.60,3.86,6.25,13.77,17.54,15.52,16.93,14.77,10.26,3.34,3.32,-2.48,7.96,16.66,9.46,7.90
1955,-2.09,-2.49,0.36,6.64,11.03,15.01,19.17,18.81,14.71,8.88,4.57,2.37,-0.42,6.01,17.66,9.39,8.16
1956,0.13,-9.17,3.08,5.17,13.16,15.06,18.22,15.12,14.45,9.17,1.97,1.85,-2.22,7.14,16.13,8.53,7.39
1957,0.72,3.72,5.96,8.26,10.56,17.90,19.01,16.11,12.12,9.95,5.10,0.09,2.10,8.26,17.67,9.06,9.27
1958,-0.40,1.82,0.08,5.65,14.28,15.29,18.22,17.48,15.04,10.37,4.35,2.29,0.50,6.67,17.00,9.92,8.52
1959,0.04,0.11,7.02,10.51,13.91,17.19,20.05,19.05,13.72,9.12,3.44,1.11,0.81,10.48,18.76,8.76,9.70
1960,0.12,-0.70,4.01,7.45,13.72,17.14,16.36,17.23,13.72,9.27,5.99,2.11,0.18,8.39,16.91,9.66,8.79
1961,-1.43,4.70,6.95,11.29,11.24,17.56,16.49,16.50,16.80,11.83,4.19,-1.51,1.79,9.83,16.85,10.94,9.85
1962,2.21,0.86,0.90,10.08,10.88,14.82,15.93,16.33,12.56,9.78,3.74,-3.20,0.52,7.29,15.69,8.69,8.05
1963,-7.79,-5.23,2.87,9.03,13.68,17.61,19.11,17.69,14.93,9.08,7.98,-2.71,-5.41,8.53,18.14,10.66,7.98
1964,-2.48,-0.10,0.31,9.31,14.09,18.60,18.55,16.25,14.10,7.76,5.28,0.93,-1.76,7.90,17.80,9.05,8.25
1965,1.59,-1.27,2.24,8.05,11.92,16.64,16.34,15.76,14.33,8.82,0.59,2.55,0.42,7.40,16.25,7.91,8.00
1966,-3.04,1.15,4.32,9.45,13.98,18.52,17.60,16.82,13.14,11.80,2.97,2.21,0.22,9.25,17.65,9.30,9.11
1967,0.57,3.35,6.58,7.49,14.39,15.57,19.49,17.34,15.44,11.69,4.55,0.99,2.04,9.49,17.47,10.56,9.89
1968,-1.09,0.82,5.31,10.44,11.62,17.97,17.19,18.69,14.66,10.16,4.45,-1.76,0.24,9.12,17.95,9.76,9.27
1969,-0.94,-2.33,0.01,7.89,14.16,16.51,19.48,17.64,14.39,10.62,5.78,-5.50,-1.68,7.35,17.88,10.26,8.45
1970,-4.53,-1.97,1.51,6.34,12.67,18.40,17.12,18.18,13.22,9.35,5.55,1.71,-4.00,6.84,17.90,9.37,7.53
1971,-1.04,2.17,2.18,8.61,15.36,15.40,18.74,19.71,12.57,9.64,4.29,4.55,0.95,8.72,17.95,8.83,9.11
1972,-3.33,2.16,6.05,8.44,12.60,16.09,19.45,16.72,11.72,7.26,4.87,1.27,1.13,9.03,17.42,7.95,8.88
1973,0.16,2.57,5.65,6.20,13.22,16.87,18.61,17.64,13.91,7.70,3.47,0.21,1.33,8.36,17.71,8.36,8.94
1974,3.30,3.68,6.38,8.97,11.91,15.03,16.15,18.32,14.27,6.61,5.31,5.04,2.40,9.09,16.50,8.73,9.18
1975,4.80,1.32,4.90,7.52,12.93,16.31,19.43,19.92,16.30,8.12,3.02,2.49,3.72,8.45,18.55,9.15,9.97
1976,0.63,0.29,1.44,8.02,13.40,16.95,19.75,17.04,13.48,9.52,5.26,-0.31,1.14,7.62,17.91,9.42,9.02
1977,0.60,2.67,6.54,6.51,12.57,17.24,16.75,16.95,12.35,10.20,5.97,2.68,0.99,8.54,16.98,9.51,9.00
1978,1.33,-0.75,5.89,7.64,13.37,16.19,16.62,16.40,12.36,10.06,5.40,-0.36,1.09,8.97,16.40,9.27,8.93
1979,-3.98,-2.70,3.55,7.69,13.78,18.41,15.26,17.16,13.98,8.27,3.98,3.71,-2.35,8.34,16.94,8.74,7.92
1980,-3.69,1.31,2.85,7.12,11.32,16.25,16.54,17.07,13.99,8.61,3.44,1.10,0.44,7.10,16.62,8.68,8.21
1981,-1.11,0.91,6.96,8.29,14.86,16.76,17.79,16.95,14.83,8.57,4.97,-2.90,0.30,10.04,17.17,9.46,9.24
1982,-2.50,0.11,5.47,7.49,13.50,17.07,19.94,18.98,16.78,10.65,6.18,2.51,-1.76,8.82,18.66,11.20,9.23
1983,4.56,-0.71,5.64,9.68,13.36,16.93,20.85,18.95,14.62,9.30,4.34,0.39,2.12,9.56,18.91,9.42,10.00
1984,1.50,0.41,2.86,8.33,13.40,14.27,16.33,18.53,13.14,10.69,4.25,0.42,0.77,8.20,16.38,9.36,8.68
1985,-5.28,-2.96,3.92,8.82,15.24,14.82,17.88,17.57,13.76,9.47,1.65,4.06,-2.61,9.33,16.76,8.29,7.94
1986,0.02,-6.30,3.88,7.49,15.47,16.63,18.32,17.40,11.98,9.89,6.54,2.00,-0.74,8.95,17.45,9.47,8.78
1987,-7.10,-0.66,0.47,9.58,10.80,14.92,18.00,16.16,14.37,9.80,5.75,2.23,-1.92,6.95,16.36,9.97,7.84
1988,3.67,2.98,2.95,9.00,15.58,16.19,18.62,17.52,14.09,10.18,2.86,3.22,2.96,9.18,17.44,9.04,9.66
1989,3.24,4.55,7.47,8.89,14.52,16.59,18.77,17.80,16.39,11.26,3.17,2.39,3.67,10.29,17.72,10.27,10.49
1990,3.68,6.65,8.08,9.41,14.89,16.63,17.52,19.18,12.85,11.00,5.24,0.84,4.24,10.79,17.78,9.70,10.63
1991,2.28,-2.27,7.23,8.26,10.36,14.80,20.31,18.46,15.52,9.37,4.61,1.54,0.28,8.62,17.86,9.83,9.15
1992,1.48,3.83,5.73,9.07,15.08,19.87,19.94,20.20,14.08,6.18,5.03,1.05,2.28,9.96,20.00,8.43,10.17
1993,2.40,0.32,4.46,11.61,16.49,15.80,16.85,16.27,13.08,9.05,0.55,3.34,1.26,10.85,16.31,7.56,8.99
1994,3.40,-0.34,6.15,9.57,13.48,16.13,22.53,18.75,13.99,7.61,6.71,3.75,2.13,9.73,19.14,9.44,10.11
1995,0.67,4.65,4.03,9.03,13.09,15.38,21.28,19.65,14.35,12.14,2.32,-2.61,3.02,8.72,18.77,9.60,10.03
1996,-3.75,-2.39,1.42,9.78,12.15,16.24,16.23,19.04,11.69,10.20,5.24,-2.33,-2.92,7.78,17.17,9.04,7.77
1997,-2.20,4.22,5.71,7.01,13.70,17.45,19.28,21.58,14.81,8.83,3.94,2.20,-0.10,8.81,19.44,9.19,9.33
1998,3.34,5.90,5.15,10.47,15.20,17.73,17.54,17.53,14.44,8.90,1.61,0.71,3.81,10.27,17.60,8.32,10.00
1999,3.05,1.39,5.86,10.42,14.29,16.23,20.72,18.38,18.31,10.22,3.94,2.55,1.72,10.19,18.44,10.82,10.29
2000,1.12,4.37,5.51,11.80,16.08,18.05,16.79,18.15,14.21,12.01,6.60,2.69,2.68,11.13,17.66,10.94,10.60
2001,0.57,1.50,3.27,8.32,14.62,14.68,19.24,19.35,12.73,12.68,3.61,-0.34,1.59,8.74,17.76,9.67,9.44
2002,2.04,5.56,5.85,8.80,15.83,17.48,19.16,21.04,14.80,8.17,4.22,-1.96,2.42,10.16,19.23,9.06,10.22
2003,-0.24,-1.29,5.09,9.16,15.36,19.19,20.28,20.56,15.01,6.37,6.60,2.88,-1.16,9.87,20.01,9.33,9.51
2004,-1.11,3.09,5.38,10.32,12.80,15.90,17.64,19.73,14.64,10.30,4.61,2.19,1.62,9.50,17.76,9.85,9.68
2005,3.07,-0.29,3.87,10.25,13.73,16.28,19.22,16.66,15.78,11.96,4.69,1.28,1.66,9.28,17.39,10.81,9.78
