YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1938,-0.04,2.04,6.65,12.25,15.99,21.50,24.86,25.60,18.88,15.29,8.79,2.58,1.19,11.63,23.99,14.32,12.78
1939,-0.46,2.72,3.87,9.04,18.35,22.90,24.83,25.59,20.21,13.75,6.18,2.33,1.61,10.42,24.44,13.38,12.46
1940,-4.23,0.07,1.75,8.51,16.01,21.81,24.74,21.96,19.18,11.95,7.01,3.52,-0.61,8.76,22.84,12.71,10.92
1941,-2.01,-1.17,2.17,14.01,18.25,22.54,24.61,23.34,21.01,15.45,9.65,3.03,0.11,11.48,23.50,15.37,12.61
1942,-1.29,-1.66,5.88,11.86,18.64,22.00,24.85,23.25,20.29,14.65,8.17,-0.34,0.03,12.13,23.37,14.37,12.47
1943,-0.92,1.85,4.85,8.30,16.90,25.05,25.07,24.46,19.85,12.87,6.80,0.07,0.20,10.02,24.86,13.17,12.06
1944,0.89,0.31,3.14,9.30,20.02,22.85,26.24,25.55,21.22,14.05,7.80,0.55,0.42,10.82,24.88,14.36,12.62
1945,-3.55,1.11,10.84,13.37,15.28,21.80,23.79,23.15,21.59,13.57,8.35,-0.87,-0.63,13.16,22.91,14.50,12.49
1946,1.13,-0.73,10.17,10.41,16.54,20.86,24.28,21.72,20.98,16.62,10.01,2.95,-0.16,12.37,22.29,15.87,12.59
1947,3.27,-1.45,2.94,10.15,15.82,20.60,24.07,24.31,20.23,17.47,6.68,1.02,1.59,9.64,22.99,14.79,12.25
1948,-3.84,-0.81,5.47,10.44,15.55,20.68,24.92,23.99,21.13,13.58,11.24,3.37,-1.21,10.49,23.20,15.32,11.95
1949,3.66,3.53,5.91,11.93,17.13,23.35,26.34,24.73,18.88,17.18,7.81,3.97,3.52,11.66,24.81,14.62,13.65
1950,5.25,-0.36,2.27,9.00,14.74,21.13,23.78,22.71,17.98,15.44,8.98,1.46,2.95,8.67,22.54,14.13,12.07
1951,2.34,2.50,5.17,11.56,17.27,20.87,24.57,23.33,19.76,14.48,6.07,2.92,2.10,11.33,22.92,13.44,12.45
1952,1.99,2.00,4.23,12.59,15.61,22.76,26.49,23.43,20.72,12.84,8.86,3.22,2.30,10.81,24.23,14.14,12.87
1953,2.80,3.24,5.95,10.95,17.10,22.69,25.12,24.00,20.98,15.62,9.50,4.84,3.09,11.33,23.94,15.37,13.43
1954,-1.01,4.18,4.95,11.73,15.11,21.64,24.49,22.27,19.32,16.17,7.63,2.02,2.67,10.60,22.80,14.37,12.61
1955,-0.94,1.31,5.29,11.85,18.47,20.39,27.05,25.54,19.80,15.36,6.72,-1.38,0.80,11.87,24.33,13.96,12.74
