YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1968,5.41,4.02,9.66,14.12,17.44,22.14,24.77,26.50,21.90,16.14,13.82,10.03,5.32,13.74,24.47,17.29,15.20
1969,5.39,5.36,7.53,14.26,19.43,21.79,24.99,27.30,22.72,16.97,12.58,6.79,6.93,13.74,24.69,17.42,15.70
1970,4.35,5.72,5.38,12.84,19.40,20.68,25.44,27.59,23.99,16.93,12.15,6.60,5.62,12.54,24.57,17.69,15.11
1971,5.16,5.58,8.18,13.25,17.94,21.65,26.28,27.33,21.57,15.88,12.04,8.06,5.78,13.12,25.09,16.50,15.12
1972,6.89,5.47,9.84,13.46,18.87,21.76,25.85,27.18,23.67,18.78,12.47,8.29,6.81,14.06,24.93,18.31,16.03
1973,6.71,7.26,8.25,15.61,18.11,20.32,26.67,29.22,23.53,17.10,11.77,6.11,7.42,13.99,25.40,17.47,16.07
1974,4.26,4.90,7.14,14.46,19.02,21.76,23.25,27.11,22.57,17.51,11.34,6.40,5.09,13.54,24.04,17.14,14.95
1975,4.31,4.77,7.68,14.06,18.31,21.43,25.54,27.26,25.16,16.96,12.48,6.40,5.16,13.35,24.74,18.20,15.36
1976,5.17,6.31,8.60,12.48,17.39,21.33,23.65,24.99,21.80,17.21,10.70,6.92,5.96,12.82,23.32,16.57,14.67
1977,3.27,4.46,8.80,14.63,18.28,20.68,25.65,24.89,24.07,18.38,14.44,8.69,4.88,13.90,23.74,18.96,15.37
1978,5.19,3.98,8.47,13.48,18.72,23.64,27.69,28.80,21.92,16.90,12.44,8.10,5.95,13.56,26.71,17.09,15.83
1979,6.18,8.20,9.31,13.48,18.24,24.14,24.96,27.28,23.74,19.17,13.83,9.62,7.49,13.68,25.46,18.91,16.39
1980,5.32,4.76,7.94,13.22,18.80,23.40,23.71,23.15,22.68,17.86,12.51,7.30,6.57,13.32,23.42,17.68,15.25
1981,4.06,5.04,8.57,13.28,16.99,19.90,26.19,26.20,21.45,17.21,10.07,7.22,5.47,12.95,24.10,16.24,14.69
1982,5.45,5.09,9.47,13.39,20.21,21.03,22.76,26.87,22.19,17.58,13.90,8.86,5.92,14.36,23.55,17.89,15.43
1983,5.83,5.79,8.15,15.72,19.21,20.14,23.66,27.27,22.98,17.28,11.92,6.70,6.83,14.36,23.69,17.39,15.57
1984,3.31,2.64,5.55,11.45,17.08,21.54,26.07,28.55,23.20,17.37,11.70,7.25,4.22,11.36,25.39,17.42,14.60
1985,3.76,6.13,7.49,13.78,18.84,19.73,26.22,27.83,22.78,17.53,12.59,6.90,5.71,13.37,24.59,17.63,15.33
1986,4.06,3.81,7.31,13.48,17.48,20.83,23.65,26.72,23.40,16.56,11.76,8.07,4.92,12.76,23.73,17.24,14.66
1987,5.46,6.28,8.65,13.82,18.70,21.71,26.82,27.03,22.99,18.52,12.37,7.72,6.60,13.72,25.19,17.96,15.87
1988,7.19,4.48,7.73,13.61,17.75,21.94,22.11,26.81,22.40,17.09,10.91,7.96,6.46,13.03,23.62,16.80,14.98
1989,7.57,7.20,9.17,15.02,17.35,20.27,23.93,26.94,24.92,17.09,13.71,8.72,7.58,13.85,23.71,18.57,15.93
1990,4.68,7.21,10.22,14.19,18.90,23.35,25.42,28.50,24.50,18.69,14.62,9.44,6.87,14.44,25.76,19.27,16.58
1991,6.23,6.28,9.54,15.44,18.84,23.70,26.73,25.62,23.96,18.05,12.69,8.91,7.32,14.61,25.35,18.23,16.38
1992,6.70,6.55,9.53,15.30,17.63,20.55,25.70,27.06,23.25,16.91,12.83,8.96,7.39,14.15,24.44,17.66,15.91
1993,5.95,7.61,8.63,13.32,18.47,21.90,22.47,25.20,22.90,17.23,13.97,8.45,7.51,13.47,23.19,18.03,15.55
1994,5.17,6.65,7.96,15.56,19.60,22.40,28.64,29.16,24.73,19.66,13.02,8.79,6.76,14.37,26.73,19.14,16.75
1995,6.05,6.16,8.65,14.83,18.87,20.19,26.10,29.36,23.53,19.39,12.06,7.44,7.00,14.12,25.22,18.33,16.16
1996,6.02,5.01,8.83,12.27,18.12,22.33,26.15,25.94,22.37,17.64,13.00,8.80,6.16,13.07,24.81,17.67,15.43
1997,6.35,6.60,10.14,14.74,19.08,22.65,26.67,26.72,22.87,18.26,13.88,8.44,7.25,14.65,25.35,18.34,16.40
1998,5.04,6.98,9.48,16.33,20.10,21.34,25.26,27.05,24.25,19.88,13.24,8.53,6.82,15.30,24.55,19.12,16.45
1999,6.07,6.34,9.43,14.70,19.76,22.54,25.97,28.46,25.74,19.13,13.66,8.35,6.98,14.63,25.66,19.51,16.69
2000,7.05,5.45,8.85,13.95,19.25,21.95,27.15,27.75,25.05,18.25,12.75,8.24,6.95,14.02,25.62,18.68,16.32
2001,4.64,6.04,9.24,15.25,18.94,22.54,27.94,25.84,22.64,18.14,12.54,7.84,6.31,14.48,25.44,17.77,16.00
2002,6.84,7.34,11.64,15.54,17.84,21.04,27.44,999.90,22.54,18.44,11.04,6.64,7.34,15.01,25.38,17.34,16.27
2003,4.94,5.84,8.14,14.54,18.24,22.64,22.24,25.44,23.64,17.24,13.84,8.63,5.81,13.64,23.44,18.24,15.28
2004,5.73,7.93,9.23,15.83,19.03,23.13,27.93,26.63,24.53,16.93,15.03,9.33,7.43,14.70,25.90,18.83,16.71
2005,5.99,6.04,8.98,15.15,17.75,23.30,25.50,28.22,24.13,19.07,12.80,5.83,7.12,13.96,25.67,18.67,16.36
2006,4.53,6.41,9.51,13.31,18.71,22.21,25.31,27.21,23.21,19.21,14.11,9.21,5.59,13.84,24.91,18.84,15.80
2007,7.31,8.31,10.51,13.41,19.51,22.91,24.11,28.71,24.91,18.71,13.01,8.70,8.28,14.48,25.24,18.88,16.72
2008,5.60,5.20,10.40,14.40,18.20,21.00,26.70,26.50,24.10,19.10,12.80,9.50,6.50,14.33,24.73,18.67,16.06
2009,6.50,7.50,9.70,15.40,19.80,22.20,26.00,26.30,22.70,18.70,13.20,8.70,7.83,14.97,24.83,18.20,16.46
2010,6.70,6.20,8.80,12.10,18.70,23.30,27.70,29.30,24.80,18.60,13.20,9.60,7.20,13.20,26.77,18.87,16.51
2011,4.80,6.70,7.80,14.20,18.20,22.50,27.00,27.20,24.80,19.00,14.40,6.99,7.03,13.40,25.57,19.40,16.35
2012,4.29,4.89,8.29,13.99,19.09,20.89,25.89,28.59,25.69,18.89,12.19,6.79,5.39,13.79,25.12,18.92,15.81
2013,4.99,5.69,11.59,14.69,19.29,22.39,26.79,28.69,24.69,19.29,12.99,7.79,5.82,15.19,25.96,18.99,16.49
2014,5.79,5.39,9.89,14.49,19.79,22.89,26.29,27.19,22.69,18.59,13.69,6.72,6.32,14.72,25.46,18.32,16.21
2015,5.82,5.72,10.32,14.72,21.12,22.52,26.67,27.22,23.12,18.77,14.27,9.62,6.09,15.39,25.47,18.72,16.42
2016,6.22,7.67,10.52,15.82,20.47,22.72,25.92,27.77,24.82,18.97,11.82,9.17,7.84,15.60,25.47,18.54,16.86
2017,6.27,7.37,8.82,15.07,20.57,22.47,27.92,26.92,23.17,17.17,12.27,6.92,7.60,14.82,25.77,17.54,16.43
2018,5.02,5.72,11.72,17.27,20.02,22.87,28.87,28.57,23.27,19.42,14.17,8.41,5.89,16.34,26.77,18.95,16.99
2019,5.86,7.46,10.81,14.11,20.31,22.16,24.56,29.01,25.56,19.86,13.51,8.91,7.24,15.08,25.24,19.64,16.80
2020,7.41,8.66,11.11,13.06,19.81,23.66,24.76,29.71,24.81,17.91,14.36,8.01,8.33,14.66,26.04,19.03,17.01
2021,5.81,8.66,13.11,15.46,19.91,23.36,26.61,27.96,22.76,18.71,14.16,8.26,7.49,16.16,25.98,18.54,17.04
2022,5.26,5.81,11.36,15.66,19.16,23.61,28.06,28.16,24.96,17.66,14.91,7.95,6.44,15.39,26.61,19.18,16.91
2023,6.00,7.55,13.25,16.80,19.30,23.60,29.30,30.20,27.40,19.20,14.75,9.75,7.17,16.45,27.70,20.45,17.94
2024,7.35,8.30,9.95,17.45,20.20,23.50,29.25,29.65,27.20,20.95,14.00,8.50,8.47,15.87,27.47,20.72,18.13
